sample ID	forward sequence count	reverse sequence count
BM5w0	88588	88588
BM5w8	86521	86521
FM1w0	86380	86380
FM10w0	85230	85230
FM3w0	84527	84527
BM2w4	82866	82866
BM7w0	82630	82630
BM9w4	82480	82480
BM16w0	81245	81245
BM8w0	79641	79641
BM4w8	79617	79617
BM2w8	78983	78983
FM10w4	78528	78528
BM6w0	78008	78008
BM7w4	77919	77919
BM4w4	76558	76558
BM2w0	75749	75749
FM1w8	75657	75657
BM13w0	75503	75503
BM5w4	74485	74485
BM9w0	74298	74298
BM11w0	73819	73819
BM12w4	73253	73253
BM14w0	73238	73238
BM11w4	73127	73127
BM12w0	72596	72596
FM1w4	72550	72550
BM15w0	70456	70456
BM17w0	69362	69362
BM8w4	68125	68125
BM4w0	67895	67895
BM6w4	61092	61092
