sample ID	forward sequence count
ERR4094164	5949
ERR4094199	5369
ERR4094166	4888
ERR4094145	4720
ERR4094131	4397
ERR4094119	4344
ERR4094153	4182
ERR4094117	3655
ERR4094176	3454
ERR4094207	3383
ERR4094189	3342
ERR4094134	3268
ERR4094211	3220
ERR4094158	2994
ERR4094155	2981
ERR4094215	2965
ERR4094183	2959
ERR4094159	2948
ERR4094061	2824
ERR4094203	2810
ERR4094148	2804
ERR4094059	2761
ERR4094161	2730
ERR4094156	2721
ERR4094062	2701
ERR4094175	2625
ERR4094027	2618
ERR4094032	2578
ERR4094206	2559
ERR4094132	2543
ERR4094133	2516
ERR4094179	2506
ERR4094107	2497
ERR4094150	2479
ERR4094137	2424
ERR4094208	2423
ERR4094025	2367
ERR4094154	2332
ERR4094201	2297
ERR4094054	2190
ERR4094143	2143
ERR4094039	2138
ERR4094204	2133
ERR4094205	2113
ERR4094182	2078
ERR4094200	2052
ERR4094139	2021
ERR4094151	1992
ERR4094118	1971
ERR4094157	1970
ERR4094128	1963
ERR4094210	1954
ERR4094075	1953
ERR4094064	1935
ERR4094136	1903
ERR4094135	1875
ERR4094140	1872
ERR4094170	1863
ERR4094109	1816
ERR4094036	1801
ERR4094029	1747
ERR4094035	1731
ERR4094167	1731
ERR4094100	1722
ERR4094129	1695
ERR4094074	1688
ERR4094084	1680
ERR4094024	1643
ERR4094033	1623
ERR4094124	1566
ERR4094169	1547
ERR4094198	1543
ERR4094214	1535
ERR4094212	1485
ERR4094213	1472
ERR4094163	1445
ERR4094162	1421
ERR4094202	1393
ERR4094044	1386
ERR4094180	1375
ERR4094130	1375
ERR4094192	1372
ERR4094177	1346
ERR4094060	1340
ERR4094160	1326
ERR4094181	1311
ERR4094031	1311
ERR4094186	1306
ERR4094193	1304
ERR4094174	1302
ERR4094034	1301
ERR4094138	1275
ERR4094121	1265
ERR4094195	1262
ERR4094120	1249
ERR4094152	1247
ERR4094165	1189
ERR4094146	1181
ERR4094216	1163
ERR4094197	1160
ERR4094043	1156
ERR4094068	1148
ERR4094168	1139
ERR4094194	1137
ERR4094037	1136
ERR4094149	1125
ERR4094058	1103
ERR4094101	1102
ERR4094127	1090
ERR4094185	1087
ERR4094147	1084
ERR4094187	1083
ERR4094108	1053
ERR4094126	1033
ERR4094188	1028
ERR4094178	1028
ERR4094209	1021
ERR4094053	1020
ERR4094142	1017
ERR4094112	1013
ERR4094067	998
ERR4094171	988
ERR4094217	981
ERR4094065	975
ERR4094123	952
ERR4094055	950
ERR4094048	907
ERR4094078	905
ERR4094116	904
ERR4094125	903
ERR4094173	888
ERR4094087	878
ERR4094196	861
ERR4094172	822
ERR4094141	812
ERR4094184	797
ERR4094191	792
ERR4094105	776
ERR4094122	762
ERR4094052	756
ERR4094056	754
ERR4094057	744
ERR4094106	739
ERR4094038	738
ERR4094144	736
ERR4094049	727
ERR4094047	721
ERR4094115	707
ERR4094218	703
ERR4094050	700
ERR4094077	682
ERR4094083	679
ERR4094030	664
ERR4094095	655
ERR4094028	638
ERR4094104	636
ERR4094113	628
ERR4094076	621
ERR4094092	612
ERR4094114	611
ERR4094066	607
ERR4094190	592
ERR4094103	592
ERR4094102	587
ERR4094096	585
ERR4094110	543
ERR4094070	526
ERR4094040	525
ERR4094046	523
ERR4094042	506
ERR4094086	505
ERR4094079	491
ERR4094051	476
ERR4094094	457
ERR4094080	457
ERR4094099	444
ERR4094071	436
ERR4094073	435
ERR4094069	434
ERR4094041	424
ERR4094098	402
ERR4094045	393
ERR4094091	384
ERR4094081	383
ERR4094090	371
ERR4094097	368
ERR4094111	327
ERR4094093	297
ERR4094082	289
ERR4094085	273
ERR4094063	255
ERR4094072	242
ERR4094089	210
ERR4094026	178
ERR4094088	131
