sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1340_iter-1,depth-1340_iter-2,depth-1340_iter-3,depth-1340_iter-4,depth-1340_iter-5,depth-1340_iter-6,depth-1340_iter-7,depth-1340_iter-8,depth-1340_iter-9,depth-1340_iter-10,depth-2680_iter-1,depth-2680_iter-2,depth-2680_iter-3,depth-2680_iter-4,depth-2680_iter-5,depth-2680_iter-6,depth-2680_iter-7,depth-2680_iter-8,depth-2680_iter-9,depth-2680_iter-10,depth-4020_iter-1,depth-4020_iter-2,depth-4020_iter-3,depth-4020_iter-4,depth-4020_iter-5,depth-4020_iter-6,depth-4020_iter-7,depth-4020_iter-8,depth-4020_iter-9,depth-4020_iter-10,depth-5360_iter-1,depth-5360_iter-2,depth-5360_iter-3,depth-5360_iter-4,depth-5360_iter-5,depth-5360_iter-6,depth-5360_iter-7,depth-5360_iter-8,depth-5360_iter-9,depth-5360_iter-10,depth-6700_iter-1,depth-6700_iter-2,depth-6700_iter-3,depth-6700_iter-4,depth-6700_iter-5,depth-6700_iter-6,depth-6700_iter-7,depth-6700_iter-8,depth-6700_iter-9,depth-6700_iter-10,depth-8040_iter-1,depth-8040_iter-2,depth-8040_iter-3,depth-8040_iter-4,depth-8040_iter-5,depth-8040_iter-6,depth-8040_iter-7,depth-8040_iter-8,depth-8040_iter-9,depth-8040_iter-10,depth-9380_iter-1,depth-9380_iter-2,depth-9380_iter-3,depth-9380_iter-4,depth-9380_iter-5,depth-9380_iter-6,depth-9380_iter-7,depth-9380_iter-8,depth-9380_iter-9,depth-9380_iter-10,depth-10720_iter-1,depth-10720_iter-2,depth-10720_iter-3,depth-10720_iter-4,depth-10720_iter-5,depth-10720_iter-6,depth-10720_iter-7,depth-10720_iter-8,depth-10720_iter-9,depth-10720_iter-10,depth-12060_iter-1,depth-12060_iter-2,depth-12060_iter-3,depth-12060_iter-4,depth-12060_iter-5,depth-12060_iter-6,depth-12060_iter-7,depth-12060_iter-8,depth-12060_iter-9,depth-12060_iter-10
DRR163068,1,1,1,1,1,1,1,1,1,1,30,35,37,37,34,39,36,38,38,32,42,45,42,47,40,40,46,42,36,43,46,45,43,49,47,47,46,46,47,49,49,49,47,45,51,51,47,48,47,48,48,50,51,48,50,51,51,50,50,49,52,50,51,51,50,53,51,52,48,52,51,53,52,53,53,51,50,51,52,53,52,53,52,52,53,52,52,53,53,51,53,53,53,52,51,53,52,53,52,53
DRR163069,1,1,1,1,1,1,1,1,1,1,20,19,16,20,22,16,22,18,20,19,24,23,22,23,25,26,23,25,23,23,23,24,25,26,25,24,25,20,26,25,25,27,27,25,26,26,25,24,27,26,25,26,26,28,28,25,25,27,25,26,27,26,27,25,26,25,26,26,26,26,28,26,28,26,27,25,28,27,26,27,26,26,27,27,28,27,27,27,26,27,28,27,28,27,26,26,26,27,28,28
DRR163070,1,1,1,1,1,1,1,1,1,1,28,26,28,29,24,29,32,28,26,27,29,28,28,29,33,32,30,30,30,32,30,32,33,30,29,31,32,31,33,33,31,32,31,31,34,32,34,33,32,32,32,34,33,34,33,34,32,33,33,32,32,34,33,34,34,33,33,34,33,33,33,34,34,33,32,34,34,34,34,33,34,34,34,32,34,34,33,34,34,34,34,34,34,34,34,34,34,34,34,34
DRR163071,1,1,1,1,1,1,1,1,1,1,26,25,29,29,27,29,26,26,26,26,28,29,29,30,32,32,32,29,30,30,29,28,30,32,30,32,32,32,31,31,32,33,33,32,31,30,33,33,34,33,32,34,31,33,32,33,31,34,34,32,34,32,34,33,33,33,34,33,33,32,33,33,33,32,33,34,34,33,32,34,33,34,34,33,33,33,33,32,33,34,34,34,33,34,34,33,34,34,33,33
DRR163072,1,1,1,1,1,1,1,1,1,1,28,27,26,27,25,27,28,25,29,26,29,32,29,32,29,32,32,28,33,31,35,29,35,33,33,32,30,32,34,36,37,34,33,37,37,36,33,38,35,34,36,36,36,36,37,34,35,37,33,36,37,38,37,38,36,38,38,36,37,34,37,40,37,37,39,36,37,39,39,37,38,36,39,38,36,37,39,39,39,39,39,39,40,38,39,38,39,39,37,39
DRR163073,1,1,1,1,1,1,1,1,1,1,73,84,68,68,67,67,71,65,62,65,99,96,88,94,90,98,87,94,93,91,108,104,105,115,119,117,118,109,110,109,120,122,120,119,121,124,128,130,118,124,128,133,128,130,131,123,129,125,129,138,139,131,135,133,137,130,140,137,135,136,141,141,138,138,140,142,139,140,142,139,141,145,143,144,142,144,140,140,139,139,148,145,144,147,151,145,145,150,143,143
DRR163074,1,1,1,1,1,1,1,1,1,1,17,15,15,16,16,14,13,17,14,16,20,17,18,21,19,19,17,17,16,20,21,18,17,19,19,20,22,21,19,18,21,20,20,21,21,22,21,21,23,19,22,21,23,22,22,22,22,24,20,21,22,23,20,21,23,23,22,21,23,22,24,22,22,23,23,23,22,22,23,22,24,24,23,23,23,24,22,24,23,23,22,23,23,22,24,23,24,23,23,24
DRR163075,1,1,1,1,1,1,1,1,1,1,13,11,14,15,12,13,11,10,14,13,14,13,16,14,12,15,14,16,15,13,16,15,15,15,15,16,14,14,16,16,15,16,17,17,17,15,16,17,17,17,18,18,17,18,15,15,18,17,18,16,17,17,18,17,17,18,16,17,16,16,18,18,18,17,18,17,18,18,17,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,18
DRR163076,1,1,1,1,1,1,1,1,1,1,19,18,22,20,21,21,22,20,21,20,23,26,23,23,25,22,25,22,24,22,24,25,23,24,24,26,24,26,24,26,26,25,24,25,25,24,24,26,25,25,26,26,26,24,25,26,26,26,26,25,26,25,26,26,26,26,26,25,26,25,26,25,25,26,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
DRR163077,1,1,1,1,1,1,1,1,1,1,16,17,16,15,16,15,15,15,18,14,19,18,18,19,17,19,18,17,20,19,19,18,19,19,18,20,19,20,17,20,19,20,20,20,19,20,20,18,19,20,19,20,19,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
DRR163078,1,1,1,1,1,1,1,1,1,1,17,15,15,17,18,16,15,15,14,14,16,16,17,18,16,19,17,16,17,17,19,18,19,17,19,19,17,18,18,18,19,19,19,19,19,19,18,19,19,19,19,19,19,19,18,19,18,19,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
DRR163079,1,1,1,1,1,1,1,1,1,1,26,24,24,28,27,29,27,25,23,27,37,33,34,32,35,28,32,34,33,27,35,38,38,40,34,38,36,35,38,41,40,41,41,39,41,40,38,41,35,42,42,42,42,42,41,43,42,42,43,40,43,43,43,40,44,44,44,43,42,44,42,44,43,44,45,44,43,42,44,44,45,45,45,44,45,43,45,45,44,43,45,45,45,45,44,45,44,44,44,45
DRR163080,1,1,1,1,1,1,1,1,1,1,23,20,23,22,23,20,21,21,20,24,25,27,25,26,24,24,25,25,26,26,28,24,25,27,27,26,27,27,22,27,28,29,29,28,28,26,29,28,27,29,30,30,29,28,29,29,29,27,29,30,29,29,30,30,28,29,30,30,30,30,29,30,30,30,30,30,28,28,30,30,30,30,30,29,29,30,30,30,30,29,30,30,30,30,30,30,30,30,30,30
DRR163081,1,1,1,1,1,1,1,1,1,1,12,13,13,13,12,15,13,13,13,12,14,14,16,13,15,14,14,14,13,14,14,15,14,15,14,15,16,15,15,14,15,15,13,16,14,15,15,16,14,16,15,15,16,15,16,16,16,16,15,16,16,15,16,16,15,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16
