sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1393_iter-1,depth-1393_iter-2,depth-1393_iter-3,depth-1393_iter-4,depth-1393_iter-5,depth-1393_iter-6,depth-1393_iter-7,depth-1393_iter-8,depth-1393_iter-9,depth-1393_iter-10,depth-2786_iter-1,depth-2786_iter-2,depth-2786_iter-3,depth-2786_iter-4,depth-2786_iter-5,depth-2786_iter-6,depth-2786_iter-7,depth-2786_iter-8,depth-2786_iter-9,depth-2786_iter-10,depth-4179_iter-1,depth-4179_iter-2,depth-4179_iter-3,depth-4179_iter-4,depth-4179_iter-5,depth-4179_iter-6,depth-4179_iter-7,depth-4179_iter-8,depth-4179_iter-9,depth-4179_iter-10,depth-5572_iter-1,depth-5572_iter-2,depth-5572_iter-3,depth-5572_iter-4,depth-5572_iter-5,depth-5572_iter-6,depth-5572_iter-7,depth-5572_iter-8,depth-5572_iter-9,depth-5572_iter-10,depth-6965_iter-1,depth-6965_iter-2,depth-6965_iter-3,depth-6965_iter-4,depth-6965_iter-5,depth-6965_iter-6,depth-6965_iter-7,depth-6965_iter-8,depth-6965_iter-9,depth-6965_iter-10,depth-8358_iter-1,depth-8358_iter-2,depth-8358_iter-3,depth-8358_iter-4,depth-8358_iter-5,depth-8358_iter-6,depth-8358_iter-7,depth-8358_iter-8,depth-8358_iter-9,depth-8358_iter-10,depth-9751_iter-1,depth-9751_iter-2,depth-9751_iter-3,depth-9751_iter-4,depth-9751_iter-5,depth-9751_iter-6,depth-9751_iter-7,depth-9751_iter-8,depth-9751_iter-9,depth-9751_iter-10,depth-11144_iter-1,depth-11144_iter-2,depth-11144_iter-3,depth-11144_iter-4,depth-11144_iter-5,depth-11144_iter-6,depth-11144_iter-7,depth-11144_iter-8,depth-11144_iter-9,depth-11144_iter-10,depth-12537_iter-1,depth-12537_iter-2,depth-12537_iter-3,depth-12537_iter-4,depth-12537_iter-5,depth-12537_iter-6,depth-12537_iter-7,depth-12537_iter-8,depth-12537_iter-9,depth-12537_iter-10
DRR163068,1,1,1,1,1,1,1,1,1,1,46,46,46,50,51,51,44,52,51,46,56,57,52,56,57,60,56,59,56,60,60,62,58,57,59,61,58,60,59,59,59,64,60,59,60,63,61,60,61,60,60,62,62,59,62,63,64,62,64,65,64,63,64,62,63,64,61,62,63,62,65,63,65,63,65,64,64,62,65,64,65,64,62,63,63,63,65,64,63,64,65,64,63,65,64,64,64,63,64,65
DRR163069,1,1,1,1,1,1,1,1,1,1,31,33,31,27,29,32,32,34,33,32,36,37,33,33,32,37,34,33,34,35,37,36,38,36,36,34,37,36,37,37,35,39,39,38,34,37,38,38,38,35,38,37,36,37,38,39,38,37,38,37,39,38,39,38,39,39,38,39,38,37,38,39,39,39,39,38,38,38,38,38,39,39,39,39,39,39,39,39,39,38,39,39,39,39,39,39,38,38,38,39
DRR163070,1,1,1,1,1,1,1,1,1,1,36,34,35,31,36,36,36,33,34,36,35,36,38,37,36,38,36,38,37,37,37,38,38,38,38,39,39,37,38,37,39,38,39,37,39,38,38,39,39,39,39,39,39,38,39,39,39,38,38,39,39,38,39,39,39,39,38,39,38,38,39,39,39,39,39,39,39,39,39,39,39,39,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
DRR163071,1,1,1,1,1,1,1,1,1,1,45,40,40,42,41,42,41,41,41,40,46,46,44,43,43,45,44,47,45,43,46,48,46,48,46,47,47,44,48,47,49,49,49,47,50,49,46,50,46,48,50,45,51,49,47,50,47,49,50,48,51,48,49,48,50,49,49,49,49,51,49,49,49,48,51,49,48,48,49,50,49,51,48,50,49,49,50,49,50,48,51,49,51,51,51,50,50,50,49,50
DRR163072,1,1,1,1,1,1,1,1,1,1,32,33,34,29,33,35,30,37,32,31,41,44,40,40,39,38,39,34,38,39,41,38,43,43,43,39,44,44,39,43,44,44,45,41,45,42,44,43,43,43,43,44,44,46,45,44,44,43,45,45,43,42,45,45,44,45,44,44,44,45,46,46,45,46,44,45,45,45,45,43,46,46,46,46,46,46,45,45,45,45,44,46,46,46,46,45,44,46,46,45
DRR163073,1,1,1,1,1,1,1,1,1,1,88,87,80,86,84,81,93,91,80,79,109,117,121,121,111,113,104,110,118,117,132,132,129,133,138,142,129,134,141,135,145,139,147,151,153,148,146,151,140,140,154,161,153,155,152,169,158,147,147,152,164,156,168,159,159,165,162,163,163,159,167,168,171,166,167,167,166,168,167,167,168,169,175,166,168,174,173,176,168,169,180,174,175,168,174,177,175,172,175,174
DRR163074,1,1,1,1,1,1,1,1,1,1,21,20,21,20,25,24,21,22,21,25,25,25,24,26,25,25,25,25,25,26,27,26,25,26,27,24,27,27,25,25,26,27,26,26,26,27,26,25,26,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,26,27,26,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
DRR163075,1,1,1,1,1,1,1,1,1,1,20,20,19,20,18,19,17,20,19,20,21,21,21,24,22,23,21,22,23,22,22,22,23,23,23,23,22,22,23,23,24,24,22,23,24,25,22,24,24,25,23,25,25,24,25,25,23,24,24,25,24,23,24,25,24,24,25,25,24,25,25,25,25,25,24,24,24,25,25,23,24,24,25,25,25,25,25,25,24,25,25,24,25,25,25,25,25,24,25,25
DRR163076,1,1,1,1,1,1,1,1,1,1,27,31,32,33,32,34,31,30,32,30,40,34,37,36,36,36,39,37,37,41,41,42,40,38,41,41,40,41,44,42,44,45,43,43,44,43,42,45,44,42,45,43,46,44,42,43,44,45,43,44,45,46,46,46,44,45,46,45,44,44,46,46,46,46,46,46,45,46,46,46,46,45,46,46,46,46,46,45,46,46,45,45,46,46,46,46,45,45,45,46
DRR163077,1,1,1,1,1,1,1,1,1,1,18,19,18,19,19,22,17,18,18,17,19,22,18,21,19,22,21,21,19,22,22,22,22,22,21,22,21,21,22,22,22,21,22,22,22,22,22,21,21,21,22,22,22,21,20,22,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
