sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
BM11w0	73819	67554	91.51	67169	63384	85.86	56694	76.8
BM11w4	73127	67539	92.36	67137	59663	81.59	52714	72.09
BM12w0	72596	66487	91.58	65894	53293	73.41	45675	62.92
BM12w4	73253	66895	91.32	66367	56074	76.55	44490	60.73
BM13w0	75503	67032	88.78	66674	65916	87.3	60024	79.5
BM14w0	73238	64399	87.93	64067	60511	82.62	40427	55.2
BM15w0	70456	64690	91.82	64374	60345	85.65	53313	75.67
BM16w0	81245	74911	92.2	74671	72285	88.97	59011	72.63
BM17w0	69362	64003	92.27	63829	59132	85.25	41426	59.72
BM2w0	75749	67166	88.67	67030	63769	84.18	54871	72.44
BM2w4	82866	74587	90.01	72977	39440	47.59	34756	41.94
BM2w8	78983	73394	92.92	72973	68500	86.73	54693	69.25
BM4w0	67895	63264	93.18	63051	61310	90.3	43638	64.27
BM4w4	76558	71203	93.01	70882	69771	91.13	59928	78.28
BM4w8	79617	73846	92.75	73362	69288	87.03	61689	77.48
BM5w0	88588	81407	91.89	81081	77663	87.67	69931	78.94
BM5w4	74485	68988	92.62	68553	62110	83.39	54348	72.97
BM5w8	86521	79088	91.41	78773	54450	62.93	35078	40.54
BM6w0	78008	71232	91.31	71001	69941	89.66	61673	79.06
BM6w4	61092	55346	90.59	55131	52180	85.41	45459	74.41
BM7w0	82630	75925	91.89	75712	73140	88.52	59832	72.41
BM7w4	77919	71852	92.21	71375	68288	87.64	62428	80.12
BM8w0	79641	73122	91.81	73009	71302	89.53	63098	79.23
BM8w4	68125	62002	91.01	61402	52825	77.54	42824	62.86
BM9w0	74298	68345	91.99	68143	60445	81.35	40256	54.18
BM9w4	82480	75695	91.77	75524	68704	83.3	52809	64.03
FM10w0	85230	77925	91.43	77611	60693	71.21	46299	54.32
FM10w4	78528	71545	91.11	71137	66489	84.67	52531	66.89
FM1w0	86380	79972	92.58	79680	78342	90.69	41346	47.87
FM1w4	72550	66809	92.09	66534	63514	87.55	54113	74.59
FM1w8	75657	69598	91.99	69221	63951	84.53	48330	63.88
FM3w0	84527	77727	91.96	77531	76544	90.56	71145	84.17
