sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1393_iter-1,depth-1393_iter-2,depth-1393_iter-3,depth-1393_iter-4,depth-1393_iter-5,depth-1393_iter-6,depth-1393_iter-7,depth-1393_iter-8,depth-1393_iter-9,depth-1393_iter-10,depth-2786_iter-1,depth-2786_iter-2,depth-2786_iter-3,depth-2786_iter-4,depth-2786_iter-5,depth-2786_iter-6,depth-2786_iter-7,depth-2786_iter-8,depth-2786_iter-9,depth-2786_iter-10,depth-4179_iter-1,depth-4179_iter-2,depth-4179_iter-3,depth-4179_iter-4,depth-4179_iter-5,depth-4179_iter-6,depth-4179_iter-7,depth-4179_iter-8,depth-4179_iter-9,depth-4179_iter-10,depth-5572_iter-1,depth-5572_iter-2,depth-5572_iter-3,depth-5572_iter-4,depth-5572_iter-5,depth-5572_iter-6,depth-5572_iter-7,depth-5572_iter-8,depth-5572_iter-9,depth-5572_iter-10,depth-6965_iter-1,depth-6965_iter-2,depth-6965_iter-3,depth-6965_iter-4,depth-6965_iter-5,depth-6965_iter-6,depth-6965_iter-7,depth-6965_iter-8,depth-6965_iter-9,depth-6965_iter-10,depth-8358_iter-1,depth-8358_iter-2,depth-8358_iter-3,depth-8358_iter-4,depth-8358_iter-5,depth-8358_iter-6,depth-8358_iter-7,depth-8358_iter-8,depth-8358_iter-9,depth-8358_iter-10,depth-9751_iter-1,depth-9751_iter-2,depth-9751_iter-3,depth-9751_iter-4,depth-9751_iter-5,depth-9751_iter-6,depth-9751_iter-7,depth-9751_iter-8,depth-9751_iter-9,depth-9751_iter-10,depth-11144_iter-1,depth-11144_iter-2,depth-11144_iter-3,depth-11144_iter-4,depth-11144_iter-5,depth-11144_iter-6,depth-11144_iter-7,depth-11144_iter-8,depth-11144_iter-9,depth-11144_iter-10,depth-12537_iter-1,depth-12537_iter-2,depth-12537_iter-3,depth-12537_iter-4,depth-12537_iter-5,depth-12537_iter-6,depth-12537_iter-7,depth-12537_iter-8,depth-12537_iter-9,depth-12537_iter-10
DRR163068,1,1,1,1,1,1,1,1,1,1,49,44,47,50,47,50,52,50,51,49,53,54,55,59,57,56,59,57,53,53,58,61,60,60,57,62,58,59,62,56,61,62,60,62,63,62,61,62,62,61,65,63,63,61,63,63,62,63,62,63,65,61,63,62,65,64,63,60,60,62,65,64,64,65,63,64,62,62,62,65,65,64,65,63,65,65,63,63,64,62,62,64,63,65,65,64,65,65,65,63
DRR163069,1,1,1,1,1,1,1,1,1,1,31,33,33,30,32,28,34,31,33,31,36,37,35,35,33,34,36,35,34,36,37,37,38,34,37,38,36,36,38,36,36,38,37,36,37,38,37,37,37,39,39,39,38,38,39,37,38,39,39,39,38,39,37,38,39,39,38,38,39,37,39,38,39,39,39,39,39,38,38,39,39,38,39,39,38,39,39,39,39,38,39,39,39,39,39,39,39,38,39,39
DRR163070,1,1,1,1,1,1,1,1,1,1,35,34,34,34,35,36,33,32,38,35,37,36,36,39,39,37,39,37,38,39,38,38,38,38,39,38,38,37,39,38,39,39,39,37,39,39,38,39,39,39,39,39,38,39,38,39,38,37,38,39,39,39,38,38,39,39,39,39,39,39,39,38,39,38,39,39,39,38,38,39,39,39,39,39,38,39,38,39,39,39,39,39,39,39,39,39,39,39,39,39
DRR163071,1,1,1,1,1,1,1,1,1,1,45,44,41,46,44,40,41,42,40,42,44,43,44,42,48,44,42,42,46,45,45,45,44,48,47,50,47,48,44,46,48,48,48,46,49,45,47,47,49,47,50,49,47,50,50,49,50,50,48,50,51,48,49,50,50,47,48,51,48,49,50,48,51,50,49,48,50,50,50,49,50,51,47,51,50,51,50,50,51,49,50,51,49,49,51,50,51,50,51,51
DRR163072,1,1,1,1,1,1,1,1,1,1,34,37,34,30,32,36,34,37,34,36,39,39,39,37,37,39,38,38,40,40,41,42,41,42,43,40,39,40,40,40,45,44,41,44,44,45,45,44,44,43,45,43,44,44,44,44,43,46,45,43,46,43,45,44,44,46,45,44,43,44,46,45,45,45,46,45,45,46,44,45,46,46,45,46,44,45,46,44,45,44,44,46,45,46,45,46,46,46,44,45
DRR163073,1,1,1,1,1,1,1,1,1,1,82,82,96,79,76,89,82,90,86,85,110,119,116,111,110,112,121,109,112,121,135,136,128,135,137,126,136,131,136,127,143,145,145,149,139,141,140,148,153,148,147,156,162,162,152,146,155,161,156,153,164,158,164,163,170,163,167,172,168,156,169,163,170,168,168,167,168,160,170,171,167,166,169,175,166,174,171,171,174,172,173,169,172,178,171,173,171,170,173,175
DRR163074,1,1,1,1,1,1,1,1,1,1,21,24,23,24,24,24,21,21,23,20,25,26,26,25,26,24,24,25,27,25,27,26,25,25,27,26,25,26,27,25,27,26,26,26,27,27,26,25,26,26,27,26,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,26
DRR163075,1,1,1,1,1,1,1,1,1,1,22,19,21,20,19,20,21,19,20,18,22,21,22,22,23,20,24,20,22,22,24,23,24,23,24,23,22,21,23,24,24,23,24,22,24,23,23,24,23,23,25,25,23,24,23,22,25,24,24,25,25,25,25,24,25,25,25,25,24,25,24,25,23,25,24,25,25,23,24,24,24,25,23,24,25,25,25,25,25,25,24,25,25,25,24,25,25,25,25,25
DRR163076,1,1,1,1,1,1,1,1,1,1,32,33,33,34,29,30,32,32,33,35,37,39,38,38,34,39,36,37,34,42,44,42,40,41,42,41,42,42,39,41,43,42,43,45,43,44,43,44,44,42,43,45,45,45,46,45,45,45,45,44,45,46,45,45,46,46,44,45,46,44,46,46,45,46,46,45,45,46,46,45,46,46,46,46,45,46,46,46,46,46,46,46,46,46,46,46,45,46,46,46
DRR163077,1,1,1,1,1,1,1,1,1,1,18,19,21,19,19,18,19,17,18,18,22,19,19,20,21,20,20,20,21,20,22,22,21,21,22,22,20,22,21,22,21,21,22,22,21,21,20,22,21,22,21,22,22,22,22,22,22,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
