sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
L1S105	11340	8571	75.58	8476	7788	68.68
L1S140	9736	7676	78.84	7604	7162	73.56
L1S208	11335	9260	81.69	9150	8156	71.95
L1S257	8216	6705	81.61	6627	6405	77.96
L1S281	8904	7066	79.36	6982	6629	74.45
L1S57	11750	9298	79.13	9259	8715	74.17
L1S76	10100	8394	83.11	8338	7870	77.92
L1S8	12386	7662	61.86	7627	7036	56.81
L2S155	9261	4112	44.4	3932	3932	42.46
L2S175	10691	4545	42.51	4385	4385	41.02
L2S204	7297	3378	46.29	3198	3160	43.31
L2S222	8386	3485	41.56	3187	3187	38
L2S240	11986	5183	43.24	5094	5061	42.22
L2S309	3835	1549	40.39	1419	1419	37
L2S357	6253	2526	40.4	2373	2373	37.95
L2S382	9300	4279	46.01	4202	4089	43.97
L3S242	2055	970	47.2	951	898	43.7
L3S294	2317	1313	56.67	1225	1225	52.87
L3S313	1994	1191	59.73	1103	1103	55.32
L3S341	1853	1109	59.85	953	953	51.43
L3S360	2084	1130	54.22	968	968	46.45
L3S378	2146	1357	63.23	1321	1248	58.15
L4S112	16265	8602	52.89	8361	8339	51.27
L4S137	18787	10064	53.57	9921	9820	52.27
L4S63	17167	10095	58.8	9743	9743	56.75
L5S104	3460	2253	65.12	2227	2227	64.36
L5S155	2491	1827	73.34	1799	1799	72.22
L5S174	2792	1969	70.52	1953	1953	69.95
L5S203	3037	2132	70.2	2112	2112	69.54
L5S222	3390	2555	75.37	2524	2524	74.45
L5S240	2665	1817	68.18	1792	1792	67.24
L6S20	9775	7086	72.49	7046	6854	70.12
L6S68	9554	6169	64.57	6130	5982	62.61
L6S93	11270	7483	66.4	7408	6953	61.69
